Pinmux settings per pin
Format: pin (name): mux_owner gpio_owner hog?
pin 53 (SHARKL5PRO_CARD_DET_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 54 (SHARKL5PRO_SIM0_DET_SEL): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 55 (SHARKL5PRO_AP_SIM0_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 56 (SHARKL5PRO_AP_EMMC_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 57 (SHARKL5PRO_AP_SDIO2_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 58 (SHARKL5PRO_AP_SDIO1_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 59 (SHARKL5PRO_AP_SDIO0_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 60 (SHARKL5PRO_PUBCP_SDIO_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 61 (SHARKL5PRO_PUBCP_SIM1_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 62 (SHARKL5PRO_PUBCP_SIM0_BD_EB): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 63 (SHARKL5PRO_EMMC_RST): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 64 (SHARKL5PRO_EMMC_CMD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 65 (SHARKL5PRO_EMMC_D0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 66 (SHARKL5PRO_EMMC_D3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 67 (SHARKL5PRO_EMMC_D2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 68 (SHARKL5PRO_EMMC_D5): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 69 (SHARKL5PRO_EMMC_CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 70 (SHARKL5PRO_EMMC_DS): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 71 (SHARKL5PRO_EMMC_D1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 72 (SHARKL5PRO_EMMC_D4): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 73 (SHARKL5PRO_EMMC_D6): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 74 (SHARKL5PRO_EMMC_D7): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 75 (SHARKL5PRO_LCM_RSTN): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 76 (SHARKL5PRO_DSI_TE): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 77 (SHARKL5PRO_DCDC_ARM1_EN): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 78 (SHARKL5PRO_PTEST): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 79 (SHARKL5PRO_EXT_RST_B): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 80 (SHARKL5PRO_ADI_SCLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 81 (SHARKL5PRO_CLK_32K): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 82 (SHARKL5PRO_ANA_INT): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 83 (SHARKL5PRO_ADI_D): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 84 (SHARKL5PRO_AUD_SCLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 85 (SHARKL5PRO_DCDC_ARM0_EN): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 86 (SHARKL5PRO_AUD_ADD0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 87 (SHARKL5PRO_XTL_EN0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 88 (SHARKL5PRO_AUD_ADSYNC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 89 (SHARKL5PRO_AUD_DAD0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 90 (SHARKL5PRO_XTL_EN1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 91 (SHARKL5PRO_AUD_DASYNC): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 92 (SHARKL5PRO_AUD_DAD1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 93 (SHARKL5PRO_CHIP_SLEEP): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 94 (SHARKL5PRO_SIMCLK2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 95 (SHARKL5PRO_SIMDA2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 96 (SHARKL5PRO_SIMRST2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 97 (SHARKL5PRO_SD0_CMD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 98 (SHARKL5PRO_SD0_D0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 99 (SHARKL5PRO_SD0_D1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 100 (SHARKL5PRO_SD0_CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 101 (SHARKL5PRO_SD0_D2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 102 (SHARKL5PRO_SD0_D3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 103 (SHARKL5PRO_SIMCLK0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 104 (SHARKL5PRO_SIMDA0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 105 (SHARKL5PRO_SIMRST0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 106 (SHARKL5PRO_SIMCLK1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 107 (SHARKL5PRO_SIMDA1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 108 (SHARKL5PRO_SIMRST1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 109 (SHARKL5PRO_SD2_CMD): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 110 (SHARKL5PRO_SD2_D0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 111 (SHARKL5PRO_SD2_D1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 112 (SHARKL5PRO_SD2_CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 113 (SHARKL5PRO_SD2_D2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 114 (SHARKL5PRO_SD2_D3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 115 (SHARKL5PRO_RFCTL0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 116 (SHARKL5PRO_RFCTL1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 117 (SHARKL5PRO_RFCTL2): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 118 (SHARKL5PRO_RFCTL3): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 119 (SHARKL5PRO_RFCTL4): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 120 (SHARKL5PRO_DNS_D0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 121 (SHARKL5PRO_DNS_D1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 122 (SHARKL5PRO_IIS3DI): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 123 (SHARKL5PRO_IIS3DO): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 124 (SHARKL5PRO_IIS3CLK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 125 (SHARKL5PRO_IIS3LRCK): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 126 (SHARKL5PRO_GPIO116): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 127 (SHARKL5PRO_RFCTL5): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 128 (SHARKL5PRO_RFCTL6): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 129 (SHARKL5PRO_RFCTL7): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 130 (SHARKL5PRO_RFCTL8): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 131 (SHARKL5PRO_RFCTL9): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 132 (SHARKL5PRO_RFCTL10): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 133 (SHARKL5PRO_RFCTL11): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 134 (SHARKL5PRO_RFCTL12): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 135 (SHARKL5PRO_RFCTL13): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 136 (SHARKL5PRO_RFCTL14): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 137 (SHARKL5PRO_RFCTL15): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 138 (SHARKL5PRO_RFCTL16): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 139 (SHARKL5PRO_RFCTL17): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 140 (SHARKL5PRO_RFCTL18): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 141 (SHARKL5PRO_RFCTL19): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 142 (SHARKL5PRO_RFSCK0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 143 (SHARKL5PRO_RFSDA0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 144 (SHARKL5PRO_RFSEN0): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 145 (SHARKL5PRO_RFSCK1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 146 (SHARKL5PRO_RFSDA1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
pin 147 (SHARKL5PRO_RFSEN1): (MUX UNCLAIMED) (GPIO UNCLAIMED)
